latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
27.3,87.3,2016-04-25,1,12.72,30.48,2.08,0.05,882.0,1.022
27.8,82.3,2021-04-03,1,22.0,8.93,2.63,0.0,614.0,2.408
27.0,87.1,2014-10-03,0,22.45,83.39,1.52,0.04,1164.0,0.451
27.5,84.3,2021-04-02,1,26.84,13.28,1.38,0.12,196.0,3.063
28.0,85.0,2021-04-28,1,19.18,35.29,1.65,0.14,1838.0,1.438
27.8,86.1,2016-02-05,0,1.9,27.84,1.79,0.0,1942.0,0.506
28.7,81.2,2016-04-13,1,29.74,18.64,2.95,0.0,1097.0,3.401
29.6,81.2,2016-04-29,1,15.41,24.89,2.18,0.0,2224.0,1.315
27.6,87.6,2016-12-22,1,7.62,58.48,1.28,0.0,3441.0,0.434
28.9,86.7,2014-01-14,0,-8.89,63.67,4.21,0.0,5126.0,0.113
28.5,82.1,2023-04-29,1,22.76,50.34,1.31,2.51,1051.0,1.375
29.8,82.0,2017-11-13,0,-1.54,62.05,1.61,0.0,3401.0,0.207
28.8,81.1,2016-08-21,0,24.21,87.11,1.22,1.61,539.0,0.39
27.6,83.8,2021-06-11,0,28.76,80.42,1.84,1.57,746.0,0.773
28.0,84.4,2023-09-17,0,22.56,86.2,0.93,4.38,712.0,0.378
29.5,83.4,2023-09-20,0,5.2,82.21,2.22,2.21,5805.0,0.157
28.8,81.3,2017-05-05,1,26.13,29.05,1.59,1.49,501.0,2.403
26.5,88.4,2022-02-08,0,14.85,68.63,1.3,0.06,93.0,0.53
27.7,86.8,2015-08-16,0,15.41,90.5,1.95,3.38,4792.0,0.166
27.8,88.6,2015-06-21,0,7.34,77.24,3.62,1.07,4786.0,0.233
29.7,88.7,2015-06-21,0,10.6,52.88,3.35,0.31,4438.0,0.602
26.3,88.6,2013-05-08,0,28.17,52.77,1.38,0.51,68.0,1.803
28.1,86.8,2021-01-02,0,-9.59,39.71,3.17,0.0,5962.0,0.178
28.5,81.9,2019-04-30,1,26.17,29.01,1.92,1.34,2066.0,2.41
29.1,81.5,2019-04-28,0,26.13,26.81,1.61,0.0,865.0,2.479
29.8,82.9,2014-10-22,0,-8.45,75.83,1.06,0.0,5237.0,0.078
27.5,83.8,2014-04-09,1,27.92,27.82,2.07,0.13,117.0,2.716
28.9,81.3,2021-04-28,1,25.95,31.94,1.3,0.01,1425.0,2.281
29.3,86.0,2021-04-29,0,-2.08,58.02,3.38,0.21,4678.0,0.22
28.1,83.2,2021-04-15,1,25.96,22.57,2.64,0.57,1035.0,2.597
27.1,85.9,2021-03-25,1,26.7,17.31,3.96,0.0,595.0,2.897
28.5,87.2,2013-11-10,0,-10.87,63.48,3.09,0.0,4716.0,0.097
27.4,84.9,2023-04-17,1,28.35,27.95,2.07,0.0,571.0,2.779
29.3,80.6,2024-05-01,1,18.44,21.31,2.5,0.05,1615.0,1.67
28.7,80.7,2016-04-25,1,31.73,9.23,3.7,0.0,189.0,4.25
27.2,87.7,2020-04-12,1,21.94,53.73,1.77,0.11,950.0,1.219
30.2,84.6,2014-06-08,0,0.73,66.94,3.57,4.02,5227.0,0.213
28.7,82.3,2024-04-04,1,17.6,39.7,2.32,0.0,1786.0,1.214
29.4,80.5,2021-04-08,1,18.67,23.69,1.78,0.0,1854.0,1.643
27.6,82.0,2017-10-11,0,28.36,77.16,0.83,1.24,116.0,0.882
26.9,86.1,2015-03-18,0,21.9,38.94,2.55,0.0,137.0,1.605
27.7,83.3,2021-04-17,1,31.65,20.24,1.72,0.93,136.0,3.718
29.0,81.0,2024-04-30,1,25.16,24.84,2.0,0.13,1509.0,2.404
27.5,84.3,2014-11-04,1,21.21,67.08,1.01,0.0,196.0,0.829
27.1,87.1,2023-01-11,1,12.65,55.5,0.99,0.0,484.0,0.651
28.7,82.0,2024-04-08,1,22.98,21.23,1.67,0.0,982.0,2.21
28.5,83.1,2018-02-11,0,2.0,46.6,1.38,0.01,3185.0,0.377
28.4,86.9,2013-08-15,0,5.86,69.44,1.55,2.75,4923.0,0.283
29.2,80.4,2018-05-10,1,25.99,37.2,1.27,0.13,1121.0,2.11
26.6,83.8,2018-06-04,0,34.87,45.88,3.71,0.02,78.0,3.021
26.5,85.9,2023-11-16,0,22.25,75.3,1.36,0.0,57.0,0.663
29.1,83.8,2016-07-29,0,4.56,87.58,1.85,0.6,5563.0,0.105
30.3,82.1,2015-01-17,0,-23.32,82.79,1.91,0.0,5294.0,0.016
28.8,81.3,2021-03-24,1,19.37,34.76,1.36,0.89,501.0,1.467
26.5,87.7,2018-10-12,0,23.17,84.33,1.72,1.05,87.0,0.445
29.5,88.5,2018-03-06,0,-6.98,45.77,2.77,0.33,4353.0,0.196
26.5,86.1,2015-10-30,0,22.47,64.99,1.58,0.49,64.0,0.952
28.1,87.6,2016-09-20,0,5.79,82.25,1.3,8.53,6244.0,0.164
29.8,83.0,2014-10-28,0,-6.14,76.21,2.59,2.25,5016.0,0.092
28.2,82.0,2016-04-30,1,33.4,10.54,2.48,0.0,474.0,4.602
30.1,82.9,2017-05-25,0,2.15,72.29,3.25,1.95,4771.0,0.198
26.7,85.2,2017-07-09,0,29.87,83.5,1.86,28.87,78.0,0.695
29.6,88.3,2024-08-19,0,7.96,58.43,1.76,0.17,5006.0,0.445
28.1,82.0,2016-04-11,1,32.8,18.29,3.63,0.0,710.0,4.064
29.7,81.1,2015-02-23,1,9.26,54.48,1.61,0.0,4422.0,0.532
27.4,84.6,2017-04-10,1,26.19,22.8,1.97,0.0,387.0,2.624
28.9,87.1,2015-03-08,0,-8.51,54.24,4.21,0.0,5444.0,0.147
28.8,80.3,2018-05-09,1,29.93,33.88,2.74,0.44,189.0,2.794
29.2,80.8,2024-05-05,1,29.99,20.06,1.56,0.0,2114.0,3.39
28.1,84.7,2021-03-27,1,16.1,27.57,1.77,0.0,1012.0,1.325
27.1,86.6,2024-05-03,1,26.4,18.65,1.69,0.0,1066.0,2.8
27.1,84.9,2019-04-30,1,32.65,24.1,2.07,0.8,98.0,3.744
27.9,82.7,2018-04-16,1,27.15,33.75,2.07,0.45,872.0,2.383
27.9,86.7,2014-01-04,0,-11.05,32.81,2.91,0.0,4990.0,0.177
27.0,87.5,2024-03-15,1,20.22,28.22,2.04,0.06,705.0,1.701
26.3,80.6,2012-01-25,0,15.59,46.53,1.28,0.0,109.0,0.947
28.5,80.1,2022-03-08,0,20.89,59.4,1.57,0.0,182.0,1.003
27.8,82.2,2021-04-20,1,27.85,17.9,3.47,0.01,182.0,3.076
27.3,84.8,2018-03-21,1,23.95,22.61,1.74,0.01,230.0,2.302
26.7,87.8,2021-04-04,1,27.11,10.56,2.24,0.0,250.0,3.209
28.2,81.9,2024-04-10,1,29.02,17.12,1.77,0.0,498.0,3.324
26.5,88.0,2021-03-23,1,27.51,26.28,2.24,0.01,120.0,2.708
28.0,85.2,2024-05-02,1,17.59,18.03,2.32,0.0,1228.0,1.649
26.8,87.0,2019-03-24,1,22.14,25.01,1.9,0.01,135.0,2.0
29.0,88.0,2018-10-31,0,-1.11,36.75,0.97,0.0,5088.0,0.356
29.6,82.2,2021-11-15,1,-4.49,40.56,1.76,0.0,2959.0,0.26
27.2,86.4,2023-03-14,0,22.77,38.78,1.52,0.05,1046.0,1.696
26.9,86.3,2024-03-14,1,21.66,30.15,2.53,0.0,261.0,1.809
28.5,82.1,2021-01-04,0,15.83,54.74,1.33,4.52,1051.0,0.814
29.0,80.3,2024-04-14,1,29.76,25.79,1.57,0.11,279.0,3.106
27.2,85.5,2022-04-16,1,30.77,18.34,2.77,0.0,176.0,3.621
26.9,86.8,2024-04-10,1,24.33,26.64,2.04,0.08,747.0,2.233
28.1,81.9,2016-04-09,1,31.04,15.27,2.63,0.0,229.0,3.815
29.2,80.6,2014-05-25,1,29.22,40.12,1.12,8.66,2203.0,2.429
27.8,80.7,2022-11-19,0,17.91,77.34,1.23,0.0,148.0,0.465
27.6,83.9,2018-04-13,1,27.32,38.4,2.0,0.4,206.0,2.238
27.8,82.3,2022-04-24,1,26.7,23.51,3.59,0.0,614.0,2.679
28.6,85.9,2012-11-25,0,-11.28,55.91,2.1,0.0,4827.0,0.114
26.9,81.0,2018-08-31,0,28.09,91.47,2.16,21.71,124.0,0.324
29.2,81.2,2018-03-20,1,21.03,23.47,1.69,0.0,564.0,1.907
30.1,86.8,2016-06-15,0,6.1,62.93,2.36,8.56,5445.0,0.349
28.4,81.6,2019-04-29,1,26.78,25.79,1.71,2.51,268.0,2.612
26.7,80.6,2019-06-18,0,34.85,42.96,3.75,7.05,127.0,3.181
26.8,86.6,2018-03-24,1,22.96,27.9,1.95,0.01,335.0,2.021
28.3,89.0,2022-06-14,0,7.84,66.57,3.7,2.55,4888.0,0.355
30.0,80.7,2012-08-04,0,12.66,89.32,2.13,8.64,2535.0,0.156
26.9,80.2,2015-11-30,0,23.85,48.02,1.38,0.52,132.0,1.537
29.0,81.2,2024-05-05,1,26.97,22.4,1.91,0.0,830.0,2.762
28.0,82.9,2019-11-16,0,18.46,51.61,0.92,0.0,1085.0,1.028
28.4,81.1,2024-10-08,0,25.79,83.4,1.07,0.02,143.0,0.551
27.2,85.0,2019-02-19,1,20.12,44.98,1.84,0.36,192.0,1.296
27.0,87.5,2023-01-19,1,10.08,67.84,1.24,0.0,705.0,0.397
28.2,84.6,2024-05-02,1,23.11,13.47,2.41,0.0,1495.0,2.447
29.2,82.5,2025-02-02,1,2.63,35.16,1.4,0.0,3851.0,0.479
28.5,81.4,2015-11-08,0,22.91,39.21,1.29,0.0,373.0,1.699
28.6,81.5,2019-04-28,1,32.36,21.19,1.97,0.0,387.0,3.824
27.8,82.9,2021-04-04,1,20.28,11.51,2.21,0.0,684.0,2.105
27.8,84.2,2024-04-25,1,24.78,20.43,1.99,0.0,773.0,2.488
27.6,83.4,2017-04-30,0,32.25,23.06,1.73,0.18,117.0,3.71
26.8,81.8,2020-12-11,0,20.09,49.87,2.67,0.0,99.0,1.179
28.2,82.9,2023-05-11,1,22.95,28.85,2.06,0.0,1135.0,1.993
29.2,89.4,2022-07-26,0,11.36,63.01,1.35,4.03,5187.0,0.497
27.8,82.4,2021-04-11,1,25.62,11.74,2.44,0.0,437.0,2.901
27.0,87.1,2023-03-07,1,20.27,35.29,2.06,0.91,1164.0,1.539
28.6,88.1,2024-03-12,0,-4.11,47.77,4.57,0.04,4906.0,0.235
30.2,86.5,2019-01-16,0,-15.17,63.16,2.9,0.0,4945.0,0.069
29.9,88.7,2015-07-28,0,9.63,48.6,1.98,0.02,5255.0,0.616
28.2,80.9,2021-10-18,0,25.7,93.58,2.26,73.24,140.0,0.212
27.7,83.2,2019-06-21,0,35.54,39.63,1.06,2.54,161.0,3.497
27.9,81.5,2013-09-01,0,28.02,88.52,1.78,6.99,139.0,0.434
28.3,86.1,2021-06-20,0,5.82,72.61,3.15,0.65,5426.0,0.253
29.8,84.1,2023-05-28,0,-3.51,69.56,3.79,1.75,4765.0,0.143
30.4,83.1,2019-11-21,0,-8.42,62.81,3.11,0.0,5015.0,0.12
26.5,87.8,2024-01-24,0,15.27,46.42,1.3,0.0,83.0,0.93
29.0,80.3,2014-05-20,1,32.7,19.65,3.36,0.0,279.0,3.974
28.8,81.7,2021-04-07,1,14.13,41.9,1.73,0.4,742.0,0.937
28.4,86.1,2015-12-01,0,-8.86,48.87,1.91,0.0,4494.0,0.16
27.5,88.5,2015-02-22,0,3.47,52.84,1.13,0.0,1718.0,0.369
27.5,89.4,2022-03-25,0,3.19,81.04,1.64,0.3,3116.0,0.146
28.7,80.5,2016-04-10,1,32.84,16.77,2.89,0.0,190.0,4.149
27.7,82.8,2021-04-02,1,26.73,7.07,1.94,0.01,171.0,3.261
29.2,86.4,2015-08-11,0,8.61,64.55,1.93,2.08,4710.0,0.396
27.5,84.3,2025-04-23,1,31.4,25.94,2.87,0.0,196.0,3.404
26.4,84.6,2022-07-24,0,29.23,79.65,4.12,2.28,68.0,0.826
28.2,82.9,2024-04-23,1,24.89,27.75,3.21,0.0,1135.0,2.274
28.1,84.5,2023-05-12,1,23.75,28.28,2.26,0.0,703.0,2.108
28.4,84.5,2025-01-22,1,2.33,44.95,1.7,0.0,2109.0,0.398
28.6,88.4,2021-09-21,0,4.05,79.78,2.9,0.81,5475.0,0.165
30.1,82.2,2014-11-10,0,-8.28,46.56,3.24,0.0,5487.0,0.175
30.0,81.0,2020-11-22,0,-8.71,55.68,1.84,0.0,5715.0,0.14
28.0,82.2,2022-04-26,1,28.75,25.35,3.16,0.0,344.0,2.947
28.2,82.0,2016-04-11,1,32.8,18.29,3.63,0.0,474.0,4.064
27.1,86.3,2024-08-01,0,26.88,86.74,1.89,19.68,1523.0,0.469
26.8,85.6,2022-10-14,0,23.24,82.93,1.45,0.03,77.0,0.487
28.6,81.1,2025-05-29,1,32.8,48.84,1.35,1.6,167.0,2.545
27.2,85.2,2021-03-27,1,27.29,17.96,1.72,0.0,171.0,2.975
28.7,82.8,2014-03-28,1,15.66,53.42,2.42,0.0,2956.0,0.829
30.0,81.7,2015-01-28,0,-11.4,76.27,1.94,0.0,4484.0,0.061
29.4,80.6,2013-11-16,0,12.07,48.07,1.2,0.0,2122.0,0.732
30.5,82.7,2014-09-15,0,0.31,75.56,3.89,0.99,5260.0,0.153
28.4,81.6,2022-04-26,1,26.19,28.04,2.4,0.07,268.0,2.446
29.1,80.6,2019-05-09,1,29.54,17.13,1.99,0.0,1293.0,3.425
27.0,85.5,2013-01-19,0,16.6,66.23,2.32,6.71,105.0,0.638
30.0,86.4,2016-07-18,0,6.87,70.76,3.03,1.7,5378.0,0.29
28.6,84.0,2023-02-18,0,7.03,48.09,1.4,0.0,6128.0,0.521
28.8,81.3,2019-05-11,1,27.07,31.15,1.46,0.04,501.0,2.465
30.2,83.3,2023-12-09,0,-13.1,64.67,4.47,0.0,4651.0,0.079
29.8,80.8,2025-01-13,1,-2.51,64.48,1.47,0.0,1754.0,0.18
27.0,86.0,2019-03-22,1,23.95,27.42,2.7,0.01,370.0,2.159
29.5,81.4,2021-05-16,1,15.15,53.45,1.92,0.0,2395.0,0.802
28.2,83.6,2024-04-29,1,26.95,19.72,2.73,0.0,990.0,2.854
28.6,81.3,2019-05-10,1,33.24,21.39,2.04,0.0,243.0,4.008
29.2,87.3,2019-04-23,0,2.26,51.55,1.31,1.56,4489.0,0.348
27.7,88.7,2021-10-12,0,11.14,73.52,1.04,0.0,4731.0,0.351
27.5,80.2,2020-06-26,0,33.54,57.06,3.45,1.78,145.0,2.226
29.7,80.4,2021-04-17,0,16.91,48.15,1.53,5.56,899.0,0.999
28.3,81.7,2024-04-09,1,22.63,20.71,1.71,0.0,457.0,2.178
29.8,84.9,2022-12-07,0,-14.58,52.55,2.88,0.0,4894.0,0.094
28.8,80.2,2021-02-08,1,16.71,36.35,1.46,0.0,179.0,1.211
29.0,81.0,2021-04-09,1,22.67,13.59,1.61,0.0,1509.0,2.38
29.8,83.5,2018-03-31,0,-7.37,54.61,3.91,0.19,4610.0,0.159
28.3,81.9,2025-04-06,1,23.11,26.86,1.68,0.0,1124.0,2.069
28.5,81.9,2023-05-20,1,26.62,34.17,1.92,0.08,2066.0,2.295
29.8,87.3,2019-09-11,0,6.68,73.43,1.65,0.1,5053.0,0.26
28.1,84.4,2018-11-06,0,15.73,57.14,1.42,0.0,1387.0,0.766
29.7,81.1,2022-12-23,1,3.92,42.04,1.18,0.0,4422.0,0.469
27.4,86.3,2021-03-22,1,13.41,42.76,1.96,0.0,2251.0,0.881
28.7,81.9,2017-07-01,0,25.36,79.82,1.72,7.99,1317.0,0.653
28.8,81.2,2018-03-17,1,17.01,27.66,1.7,0.0,522.0,1.403
28.4,81.8,2019-05-08,1,26.91,22.84,2.83,0.0,941.0,2.737
29.4,80.6,2022-06-06,1,25.55,28.87,2.1,0.0,2122.0,2.328
29.4,83.4,2019-12-19,0,-15.51,85.0,2.48,0.0,5313.0,0.027
28.9,82.3,2021-05-05,0,7.24,83.65,1.65,14.71,2504.0,0.167
29.1,82.5,2024-02-11,1,-0.27,43.91,1.46,0.0,2756.0,0.336
28.4,84.1,2018-09-11,0,11.81,92.96,1.86,3.61,2761.0,0.098
28.3,81.8,2020-07-21,0,23.52,92.02,1.33,12.02,610.0,0.231
28.2,83.0,2021-04-03,1,19.04,11.98,2.57,0.0,1279.0,1.939
26.5,85.0,2018-05-01,0,29.43,53.93,3.04,2.31,66.0,1.892
28.4,83.1,2025-03-31,1,10.02,31.51,2.03,0.0,1993.0,0.842
27.8,83.5,2017-01-22,0,14.29,36.88,1.19,0.0,1010.0,1.028
28.4,81.1,2023-11-12,1,21.4,59.93,1.26,0.0,143.0,1.021
29.8,84.5,2018-02-11,0,-15.83,73.7,3.22,0.0,5096.0,0.047
27.2,84.7,2025-04-12,1,28.59,45.61,1.69,0.62,113.0,2.128
26.5,80.9,2023-04-03,0,28.01,38.18,2.08,0.0,120.0,2.338
27.6,86.2,2020-06-25,0,18.93,90.42,2.26,16.11,2092.0,0.21
28.1,82.0,2023-04-18,1,32.12,27.94,2.27,0.0,710.0,3.45
28.5,82.6,2015-12-24,0,4.76,40.34,1.36,0.0,2359.0,0.512
30.1,84.9,2022-05-14,0,0.68,65.1,2.58,0.05,5637.0,0.224
28.8,81.4,2018-04-24,1,23.2,27.68,1.65,0.06,405.0,2.056
27.9,82.5,2021-03-11,1,22.78,28.25,1.81,0.0,611.0,1.989
29.1,88.5,2013-09-01,0,9.51,75.7,1.78,15.47,4095.0,0.289
29.1,81.1,2024-04-07,1,22.6,21.48,1.65,0.0,416.0,2.153
28.7,81.7,2014-05-19,1,28.41,22.81,2.46,0.01,1568.0,2.988
27.8,84.6,2013-03-10,0,17.4,46.41,1.5,1.29,1455.0,1.065
28.7,81.4,2014-05-10,1,33.72,18.78,2.22,0.0,459.0,4.253
27.4,85.5,2020-04-10,1,21.33,35.92,1.75,0.0,1090.0,1.626
29.1,80.5,2019-05-21,1,30.2,25.5,1.37,0.0,775.0,3.198
28.0,82.4,2017-03-03,1,19.59,32.4,2.09,0.0,595.0,1.541
28.1,81.7,2021-04-01,1,25.23,9.44,2.2,0.83,155.0,2.908
27.7,84.7,2016-04-14,1,28.24,19.64,2.28,0.05,1029.0,3.08
28.6,81.5,2016-04-13,1,29.74,18.64,2.95,0.0,387.0,3.401
27.1,85.7,2025-03-18,1,23.49,35.34,2.34,0.0,314.0,1.871
26.4,80.8,2019-04-29,0,35.91,13.1,2.39,0.0,121.0,5.137
27.7,82.5,2023-04-12,1,29.27,28.9,3.43,0.0,553.0,2.893
26.6,88.3,2013-04-24,0,26.86,50.86,2.23,0.22,107.0,1.738
29.1,80.6,2013-04-08,0,25.97,36.5,1.7,0.0,1293.0,2.131
28.7,85.3,2020-07-25,0,9.38,85.18,1.91,1.68,4046.0,0.175
29.9,82.4,2014-06-15,1,5.11,53.96,2.37,0.08,5139.0,0.405
28.2,82.5,2021-04-28,1,29.99,21.38,1.86,0.0,1682.0,3.334
29.0,82.4,2019-01-27,0,-5.05,83.18,1.75,0.75,5131.0,0.071
27.3,89.0,2014-09-29,0,9.53,91.03,1.8,0.72,2543.0,0.107
28.9,80.7,2014-05-04,1,27.78,39.81,1.03,1.98,1272.0,2.246
27.6,83.8,2023-04-19,1,32.64,27.47,3.14,0.0,746.0,3.575
27.3,87.8,2024-03-15,1,7.78,50.45,1.94,0.15,1943.0,0.524
28.4,83.2,2016-11-13,0,6.19,41.9,1.39,0.0,1763.0,0.55
26.9,87.1,2020-06-16,0,24.08,90.13,1.97,4.82,595.0,0.296
29.9,83.5,2015-02-13,0,-19.07,78.66,2.11,0.0,4574.0,0.029
29.2,89.2,2024-05-11,0,7.16,32.13,1.7,0.06,3887.0,0.687
29.5,81.9,2021-04-21,0,4.7,78.85,1.13,13.68,2180.0,0.181
27.4,84.8,2014-04-09,1,25.38,29.36,1.65,0.18,394.0,2.289
27.9,84.8,2016-04-28,1,20.44,19.36,2.01,0.0,1123.0,1.938
28.3,85.0,2017-02-13,0,-5.04,44.39,1.73,0.0,3142.0,0.234
28.9,82.6,2023-04-12,1,8.26,55.03,1.75,0.0,3431.0,0.491
28.7,85.8,2017-05-23,0,0.1,73.58,2.97,0.5,4718.0,0.163
29.2,81.0,2021-02-02,0,12.17,30.65,1.39,0.0,676.0,0.984
27.1,85.5,2024-07-04,0,28.19,84.91,3.12,6.66,132.0,0.577
29.1,84.4,2012-05-22,0,-1.62,62.6,2.9,0.08,4802.0,0.203
28.8,80.4,2025-05-14,1,28.76,38.12,1.52,0.0,208.0,2.445
28.0,86.2,2023-10-20,0,-0.65,60.37,1.59,0.0,3314.0,0.231
28.4,86.0,2024-08-09,0,5.47,82.85,1.27,16.86,4848.0,0.155
27.7,80.2,2023-05-20,0,34.77,21.49,2.91,0.0,150.0,4.359
27.7,82.0,2014-06-17,0,38.4,33.99,1.66,2.73,124.0,4.468
27.1,86.7,2025-05-11,1,25.95,56.3,1.37,13.62,613.0,1.465
27.7,85.7,2023-03-15,1,17.84,46.45,1.84,0.18,990.0,1.094
27.4,83.2,2018-04-22,1,29.51,22.82,2.63,0.01,94.0,3.184
29.4,84.3,2020-09-08,0,6.04,75.21,1.11,0.67,5103.0,0.232
28.2,81.8,2016-04-09,1,31.04,15.27,2.63,0.0,244.0,3.815
26.3,88.6,2022-01-07,0,17.79,77.04,0.91,0.0,68.0,0.468
28.8,81.4,2021-04-18,1,21.16,40.83,1.59,1.3,405.0,1.486
