latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
27.061320415557343,82.16852325251773,2018-03-18,0,25.62,16.21,2.58,0.0,100.0,2.754
26.67543168941392,84.51355966725788,2022-04-25,0,32.94,17.47,3.49,0.0,76.0,4.137
27.510031304075223,85.35138261752478,2017-04-03,0,21.53,35.35,1.83,1.8,1597.0,1.661
26.98648259799598,88.20736388528469,2021-03-22,0,19.26,34.22,1.76,0.01,1386.0,1.469
27.64477,83.8159,2017-04-27,1,31.61,22.37,2.41,0.03,352.0,3.611
26.452143010559,83.37311092850777,2024-04-29,0,35.05,15.42,3.46,0.0,80.0,4.769
28.84881662578624,86.65820900814205,2021-02-12,0,-5.94,39.42,3.21,0.0,4995.0,0.238
26.946504591364416,87.0151011200884,2017-04-12,0,24.28,21.8,1.71,0.0,874.0,2.373
26.45912934193185,84.96685271218432,2015-05-30,0,36.58,30.77,2.0,0.18,62.0,4.246
27.75573,84.31181,2023-03-16,1,17.73,44.54,1.53,0.62,391.0,1.125
29.03452448836593,83.744729650212,2014-03-30,0,-6.93,52.25,3.11,0.0,5853.0,0.173
27.34418,85.45222,2021-04-15,1,23.77,26.04,2.23,0.02,305.0,2.177
27.656646076753265,82.18074689943427,2016-04-14,0,32.38,14.86,3.12,0.01,123.0,4.136
30.26133008170114,89.21119827531493,2024-04-19,0,-0.59,39.36,5.25,0.94,4996.0,0.355
29.82741286939133,82.341648243671,2023-11-05,0,-7.03,63.06,1.91,0.0,4514.0,0.133
28.29235434201305,89.19630540531482,2018-05-11,0,-0.3,42.79,3.8,0.87,4505.0,0.342
27.2401,85.64828,2025-04-03,1,26.76,22.82,1.94,0.0,346.0,2.713
30.462079530474565,80.79244175329568,2024-04-14,0,-2.65,78.45,3.25,0.0,5111.0,0.108
30.326437303336668,83.60853528858087,2024-02-11,0,-17.15,60.21,2.5,0.0,4968.0,0.063
28.4612,81.47442,2014-04-29,1,33.19,17.94,1.83,0.0,329.0,4.172
30.2536631400575,88.1475253035762,2018-04-05,0,-3.19,49.98,3.08,0.44,5261.0,0.241
27.80059,83.05064,2023-04-13,1,24.16,31.82,2.42,0.0,940.0,2.054
28.2311,81.81653,2017-03-26,1,27.67,28.04,1.71,1.31,531.0,2.668
26.4854010357165,83.13566675677019,2025-03-28,0,32.44,15.65,4.26,0.0,77.0,4.111
27.43244,85.33065,2016-04-10,1,25.19,20.48,3.03,0.0,682.0,2.548
28.7096,82.17202,2019-05-13,1,26.26,32.48,1.61,0.31,1635.0,2.305
28.85892,80.9693,2024-04-19,1,26.27,26.64,2.01,0.0,1106.0,2.506
30.428067487528217,88.77946885008554,2024-04-25,0,-1.97,38.16,4.19,0.04,5515.0,0.327
29.90362013541928,86.3415582945317,2018-03-27,0,-8.21,36.9,2.44,0.0,5528.0,0.208
30.37670585353533,80.26025451992797,2024-12-17,0,-8.07,48.64,2.83,0.0,5055.0,0.171
27.55836,84.15099,2023-03-11,1,23.66,37.97,1.36,0.0,144.0,1.813
28.96466,81.30066,2016-04-15,1,26.25,21.76,1.81,0.0,1483.0,2.669
27.7489868963399,88.51886274738428,2023-04-16,0,8.54,64.06,1.68,3.45,3668.0,0.4
28.36512,81.68964,2021-04-14,1,26.09,19.15,1.83,0.13,308.0,2.732
28.43989,81.27026,2018-04-26,1,30.61,28.27,2.4,0.08,172.0,3.152
28.15384,82.92086,2019-05-23,1,27.47,33.06,1.76,0.51,1373.0,2.453
26.31098605615408,85.18686250827872,2016-05-03,0,33.06,39.07,2.74,0.77,59.0,3.075
27.11429318575876,80.08004320021718,2023-03-11,0,25.03,34.7,1.31,0.0,136.0,2.072
26.68581556443769,82.85597179287066,2014-03-25,0,27.25,38.49,1.42,0.02,85.0,2.225
28.02754,83.05594,2016-05-05,1,24.17,43.78,2.26,0.41,1506.0,1.695
28.53763,81.96899,2021-04-14,1,26.09,19.15,1.83,0.13,1003.0,2.732
28.16732,81.86118,2021-04-13,1,30.68,16.92,2.92,0.0,256.0,3.665
28.62067,82.03889,2022-04-28,1,26.95,27.91,1.6,0.03,1201.0,2.563
26.43338202529312,85.77652978133439,2023-04-16,0,33.69,20.88,2.73,0.0,62.0,4.136
27.40539,86.06033,2023-03-28,1,11.62,45.74,2.02,0.01,803.0,0.742
28.46765,82.30481,2024-06-10,1,,,,,1440.0,
30.34414793045646,80.88765348246886,2014-05-09,0,-1.56,68.72,2.97,0.0,5277.0,0.17
29.79806970592665,81.33411285559575,2018-01-09,0,-6.99,22.41,2.32,0.0,5131.0,0.281
29.64404,80.7689,2016-04-27,1,21.17,17.21,2.31,0.0,2673.0,2.081
29.44102796951706,83.60179309923268,2014-04-02,0,-9.16,71.55,3.98,0.0,4940.0,0.087
28.42337521364558,81.26199476073774,2024-04-25,0,31.13,17.44,2.84,0.0,164.0,3.737
28.960340252417296,89.21615409416246,2021-04-11,0,-0.26,39.12,3.62,0.06,4084.0,0.365
